epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7941.63,0.79563,0.44036,0.85994,0.81671,0.67633,0.72873,0.43424,1.20082,0.62959,0.96948,0.0040105,0.0040105,0.0040105
123,8006.34,0.7912,0.4363,0.8582,0.81087,0.67992,0.72892,0.43447,1.20069,0.62943,0.96954,0.003961,0.003961,0.003961
124,8071.25,0.78991,0.43679,0.85939,0.80824,0.67958,0.72908,0.4345,1.20058,0.62924,0.96945,0.0039115,0.0039115,0.0039115
125,8137.43,0.7912,0.43657,0.85794,0.80743,0.6786,0.72893,0.43458,1.20047,0.62877,0.96953,0.003862,0.003862,0.003862
126,8202.36,0.78359,0.43423,0.85648,0.80635,0.6807,0.72894,0.43455,1.20105,0.62901,0.96967,0.0038125,0.0038125,0.0038125
127,8267.01,0.78611,0.43455,0.85783,0.80891,0.67915,0.72891,0.43447,1.20119,0.62912,0.96974,0.003763,0.003763,0.003763
128,8332.11,0.78833,0.43403,0.85711,0.81069,0.67749,0.72904,0.43454,1.20085,0.62893,0.96971,0.0037135,0.0037135,0.0037135
129,8397.04,0.77999,0.43157,0.85626,0.81137,0.67622,0.72888,0.43411,1.20087,0.62907,0.96973,0.003664,0.003664,0.003664
130,8461.69,0.78472,0.43258,0.85685,0.80918,0.67912,0.72871,0.4337,1.2008,0.62931,0.96973,0.0036145,0.0036145,0.0036145
131,8526.45,0.77808,0.42962,0.85597,0.81004,0.67781,0.72899,0.43421,1.20076,0.62936,0.96972,0.003565,0.003565,0.003565
132,8591.43,0.7761,0.42958,0.85505,0.80996,0.67845,0.72892,0.43409,1.20072,0.62995,0.96978,0.0035155,0.0035155,0.0035155
133,8656.04,0.77591,0.42968,0.85562,0.80805,0.67956,0.72959,0.43396,1.20104,0.63033,0.96981,0.003466,0.003466,0.003466
134,8720.73,0.77852,0.43142,0.85622,0.81053,0.67841,0.72876,0.43436,1.20112,0.63051,0.9698,0.0034165,0.0034165,0.0034165
135,8785.96,0.77388,0.42818,0.85541,0.80556,0.68122,0.72945,0.43425,1.2011,0.63039,0.96993,0.003367,0.003367,0.003367
136,8850.88,0.77212,0.42736,0.85411,0.81381,0.67726,0.7288,0.43437,1.20118,0.63077,0.96998,0.0033175,0.0033175,0.0033175
137,8915.66,0.77043,0.4264,0.85582,0.81509,0.67675,0.72861,0.43371,1.20108,0.63099,0.97003,0.003268,0.003268,0.003268
